county_fips,measure,value
48081,no_highschool_share,0.14481328
48273,no_highschool_share,0.25942743
48203,no_highschool_share,0.15376735
48223,no_highschool_share,0.19801092
48033,no_highschool_share,0.078571431
48419,no_highschool_share,0.22491033
48067,no_highschool_share,0.15672769
48025,no_highschool_share,0.29217881
51167,no_highschool_share,0.25324142
51187,no_highschool_share,0.16008542
51165,no_highschool_share,0.19273996
51195,no_highschool_share,0.27092642
51083,no_highschool_share,0.21118574
51053,no_highschool_share,0.19782665
51117,no_highschool_share,0.231298
51031,no_highschool_share,0.1624777
51007,no_highschool_share,0.210812
51036,no_highschool_share,0.24055046
51017,no_highschool_share,0.099622421
51127,no_highschool_share,0.11228149
51181,no_highschool_share,0.22166196
51790,no_highschool_share,0.15411931
31185,no_highschool_share,0.058078367
12075,no_highschool_share,0.18935609
31183,no_highschool_share,0.048414022
5119,no_highschool_share,0.10795089
5075,no_highschool_share,0.22563796
5093,no_highschool_share,0.22218001
5001,no_highschool_share,0.15892532
5081,no_highschool_share,0.16606735
5121,no_highschool_share,0.19618662
5067,no_highschool_share,0.24400854
5103,no_highschool_share,0.1534107
5107,no_highschool_share,0.27185184
5003,no_highschool_share,0.15847591
22055,no_highschool_share,0.14467628
22069,no_highschool_share,0.18529986
22097,no_highschool_share,0.23626918
22099,no_highschool_share,0.22876103
22105,no_highschool_share,0.19941486
22057,no_highschool_share,0.26198214
22085,no_highschool_share,0.20081842
22015,no_highschool_share,0.12319823
22111,no_highschool_share,0.17955533
22039,no_highschool_share,0.32227245
22063,no_highschool_share,0.15481877
22051,no_highschool_share,0.16197689
22077,no_highschool_share,0.18953069
22065,no_highschool_share,0.25491938
22029,no_highschool_share,0.25770268
22075,no_highschool_share,0.1927059
33007,no_highschool_share,0.14545529
34013,no_highschool_share,0.16481201
34019,no_highschool_share,0.058467172
29019,no_highschool_share,0.069830656
29207,no_highschool_share,0.20176965
29029,no_highschool_share,0.10648205
30029,no_highschool_share,0.061538946
29099,no_highschool_share,0.12563594
29033,no_highschool_share,0.16140796
29157,no_highschool_share,0.17169501
29013,no_highschool_share,0.1613768
30053,no_highschool_share,0.13240892
30045,no_highschool_share,0.066371679
30093,no_highschool_share,0.090870254
29195,no_highschool_share,0.17177393
29041,no_highschool_share,0.16848418
30075,no_highschool_share,0.069345944
30087,no_highschool_share,0.10897546
29039,no_highschool_share,0.15936953
29197,no_highschool_share,0.1413379
30061,no_highschool_share,0.10809103
30031,no_highschool_share,0.039416488
13121,no_highschool_share,0.096205384
13029,no_highschool_share,0.1200989
37039,no_highschool_share,0.1811548
13135,no_highschool_share,0.13007711
37159,no_highschool_share,0.1903073
37171,no_highschool_share,0.24735704
17161,no_highschool_share,0.12599909
13127,no_highschool_share,0.13449475
6001,no_highschool_share,0.13591783
6061,no_highschool_share,0.063926622
6037,no_highschool_share,0.23391518
6095,no_highschool_share,0.1283671
6093,no_highschool_share,0.11036071
6111,no_highschool_share,0.17172155
6115,no_highschool_share,0.20993274
6019,no_highschool_share,0.26939493
6107,no_highschool_share,0.31990346
6007,no_highschool_share,0.12302419
6083,no_highschool_share,0.20897529
6055,no_highschool_share,0.16896985
6103,no_highschool_share,0.18892895
6053,no_highschool_share,0.29032689
12086,no_highschool_share,0.21180657
12073,no_highschool_share,0.082132466
12057,no_highschool_share,0.13155767
12083,no_highschool_share,0.15013404
12113,no_highschool_share,0.1061172
12123,no_highschool_share,0.2353085
12107,no_highschool_share,0.22506438
12047,no_highschool_share,0.24890025
42003,no_highschool_share,0.071304671
42071,no_highschool_share,0.16139345
42101,no_highschool_share,0.18824556
42029,no_highschool_share,0.07193736
45045,no_highschool_share,0.14256309
45013,no_highschool_share,0.087368809
45031,no_highschool_share,0.20821434
42045,no_highschool_share,0.081911094
45047,no_highschool_share,0.19579306
45087,no_highschool_share,0.2185103
